FID,F1,经度,纬度,WGS84经度,WGS84纬度,
513,黔东南苗族侗族自治州黎平县茅贡乡登岑村,108.880590000000000,26.184086000000001,108.870023000000000,26.181636000000001,苗族|侗族
514,黔东南苗族侗族自治州黎平县茅贡乡地扪村,108.869688999999990,26.177441000000002,108.859162000000000,26.174790999999999,苗族|侗族
515,黔东南苗族侗族自治州黎平县茅贡乡高近村,108.903992000000000,26.170743000000002,108.893379999999990,26.168557000000000,苗族|侗族
516,黔东南苗族侗族自治州黎平县茅贡乡流芳村,108.908143000000000,26.175346999999999,108.897524000000000,26.173165000000001,苗族|侗族
517,黔东南苗族侗族自治州黎平县茅贡乡寨头村,108.931000000000000,26.187290000000001,108.920402000000000,26.184868999999999,苗族|侗族
518,黔东南苗族侗族自治州黎平县孟彦镇芒岭村,108.841990000000000,26.285215999999998,108.831481000000000,26.282381000000001,苗族|侗族
519,黔东南苗族侗族自治州黎平县尚重镇高冷村,108.686993000000000,26.330058999999999,108.676388000000000,26.327687000000001,苗族|侗族
520,黔东南苗族侗族自治州黎平县尚重镇纪登村,108.737585999999990,26.377357000000000,108.727016000000010,26.374514000000001,苗族|侗族
521,黔东南苗族侗族自治州黎平县尚重镇绍洞村,108.683762000000000,26.360889000000000,108.673180000000000,26.358590000000000,苗族|侗族
522,黔东南苗族侗族自治州黎平县尚重镇育洞村,108.664865000000010,26.257086000000001,108.654311000000010,26.254895000000001,苗族|侗族
523,黔东南苗族侗族自治州黎平县尚重镇朱冠村,108.722959000000000,26.348075999999999,108.712406000000000,26.345182000000001,苗族|侗族
524,黔东南苗族侗族自治州黎平县双江乡黄岗村,108.983957000000000,25.923943999999999,108.973314000000000,25.920950999999999,苗族|侗族
525,黔东南苗族侗族自治州黎平县岩洞镇述洞村,108.932175000000000,26.109352000000001,108.921605000000000,26.106864999999999,苗族|侗族
526,黔东南苗族侗族自治州黎平县岩洞镇岩洞村,108.969981000000000,26.100664999999999,108.959397999999990,26.097705999999999,苗族|侗族
527,黔东南苗族侗族自治州黎平县岩洞镇宰拱村,108.905689000000000,26.063832000000001,108.895071000000000,26.061577000000000,苗族|侗族
528,黔东南苗族侗族自治州黎平县岩洞镇竹坪村,109.035336000000000,26.087980000000002,109.024349000000000,26.085436999999999,苗族|侗族
529,黔东南苗族侗族自治州黎平县永从乡豆洞村,109.129788000000000,26.043841000000000,109.118686999999990,26.041100000000000,苗族|侗族
530,黔东南苗族侗族自治州黎平县肇兴乡肇兴中寨村,109.189497000000000,25.911425000000001,109.178588000000000,25.908276999999998,苗族|侗族
531,黔东南苗族侗族自治州黎平县肇兴乡纪堂村,109.170620000000000,25.902283000000001,109.159615000000000,25.899400000000000,苗族|侗族
532,黔东南苗族侗族自治州黎平县肇兴乡纪堂上寨村,109.154352000000000,26.016335000000002,109.143271000000000,26.013703000000000,苗族|侗族
533,黔东南苗族侗族自治州黎平县肇兴乡堂安村,109.220184000000000,25.904070000000001,109.209326000000000,25.900925999999998,苗族|侗族
534,黔东南苗族侗族自治州黎平县肇兴乡肇兴村,109.187830000000010,25.913456000000000,109.176912000000000,25.910329000000001,苗族|侗族
535,黔东南苗族侗族自治州榕江县平江乡滚仲村,108.411255000000000,26.021749000000000,108.400442000000000,26.019007999999999,苗族|侗族
536,黔东南苗族侗族自治州榕江县兴华乡八蒙村,108.167574000000000,25.834309999999999,108.156788000000010,25.831455999999999,苗族|侗族
537,黔东南苗族侗族自治州榕江县兴华乡摆贝村,108.158722000000000,25.875176000000000,108.147976000000000,25.872199999999999,苗族|侗族
538,黔东南苗族侗族自治州榕江县栽麻乡大利村,108.649176000000000,26.043600000000001,108.638683000000000,26.041173000000001,苗族|侗族
539,黔东南苗族侗族自治州榕江县栽麻乡宰荡村,108.653893999999990,26.006699000000001,108.643394000000000,26.004299000000000,苗族|侗族
540,黔南布依族苗族自治州荔波县瑶山民族乡董蒙村,107.792936999999990,25.206520000000001,107.782312000000000,25.203372000000002,苗族|布依族
541,黔南布依族苗族自治州荔波县永康民族乡太吉村,107.956894000000010,25.359576000000001,107.946326000000000,25.356876000000000,苗族|布依族
542,黔南布依族苗族自治州荔波县永康民族乡尧古村,107.893409000000010,25.417097999999999,107.883045999999990,25.413883999999999,苗族|布依族
543,黔南布依族苗族自治州平塘县卡蒲毛南族乡场河村交懂组,107.419090999999990,25.783269000000001,107.408283999999990,25.779897999999999,苗族|布依族|毛南族
