FID,F1,经度,纬度,WGS84经度,WGS84纬度,民族
414,贵州省黔东南苗族侗族自治州天柱县渡马镇共和村甘溪侗寨,109.353586000000010,26.947928999999998,109.342414000000010,26.945191000000001,苗族|侗族
415,贵州省黔东南苗族侗族自治州天柱县石洞镇下腾村,109.073991000000010,26.810873000000001,109.062980999999990,26.807915999999999,苗族|侗族
416,贵州省黔东南苗族侗族自治州锦屏县隆里乡华寨村,109.122801999999990,26.424648999999999,109.111680000000010,26.422006000000000,苗族|侗族
417,贵州省黔东南苗族侗族自治州锦屏县偶里乡寨欧村,109.151655000000010,26.597451000000000,109.140519000000000,26.595099999999999,苗族|侗族
418,贵州省黔东南苗族侗族自治州锦屏县平秋镇平秋村,109.052367000000000,26.674474000000000,109.041336000000000,26.671893000000001,苗族|侗族
419,贵州省黔东南苗族侗族自治州锦屏县彦洞乡黄门村,108.995857000000000,26.653462000000001,108.985069000000000,26.650960000000001,苗族|侗族
420,贵州省黔东南苗族侗族自治州剑河县磻溪镇小广村,108.883349000000000,26.715572999999999,108.872766000000000,26.713342999999998,苗族|侗族
421,贵州省黔东南苗族侗族自治州台江县方召镇方召村,108.407381000000000,26.668610999999999,108.396503999999990,26.666083000000000,苗族|侗族
422,贵州省黔东南苗族侗族自治州台江县南宫镇交密村,108.360585000000000,26.494655999999999,108.349920999999990,26.491672000000001,苗族|侗族
423,贵州省黔东南苗族侗族自治州台江县排羊乡九摆村,108.231215000000010,26.564720999999999,108.220615000000000,26.561957000000000,苗族|侗族
424,贵州省黔东南苗族侗族自治州黎平县洪州镇救寨村,109.445373000000000,26.018743000000001,109.434278000000010,26.015464999999999,苗族|侗族
425,贵州省黔东南苗族侗族自治州榕江县寨蒿镇晚寨村,108.643136000000000,26.175401999999998,108.632656999999990,26.172978000000001,苗族|侗族
426,贵州省黔东南苗族侗族自治州榕江县平江镇滚仲村,108.411255000000000,26.021749000000000,108.400442000000000,26.019007999999999,苗族|侗族
427,贵州省黔东南苗族侗族自治州从江县秀塘壮族乡上敖村,108.569412000000000,25.449874999999999,108.559000000000000,25.447054999999999,苗族|壮族|侗族
428,贵州省黔东南苗族侗族自治州雷山县望丰乡青山村,107.983684000000000,26.409210000000002,107.973100000000000,26.406596000000000,苗族|侗族
429,贵州省黔东南苗族侗族自治州麻江县龙山镇河坝村,107.694988000000000,26.440370999999999,107.684223000000000,26.438148999999999,苗族|侗族
430,贵州省黔东南苗族侗族自治州麻江县宣威镇瓮袍村,107.662550000000000,26.408643999999999,107.651985999999990,26.405994000000000,苗族|侗族
431,贵州省黔东南苗族侗族自治州丹寨县南皋乡清江村,107.834824000000000,26.408027000000001,107.824130000000000,26.405854000000001,苗族|侗族
432,贵州省黔东南苗族侗族自治州丹寨县龙泉镇高寨村,107.874410000000000,26.147418999999999,107.863969000000000,26.144625999999999,苗族|侗族
433,贵州省黔东南苗族侗族自治州丹寨县排调镇羊先村,108.084476000000000,26.165887000000001,108.073595000000000,26.163214000000000,苗族|侗族
434,贵州省黔东南苗族侗族自治州丹寨县兴仁镇乌佐村,107.941216000000000,26.303982000000001,107.930612000000000,26.301843999999999,苗族|侗族
435,贵州省黔东南苗族侗族自治州丹寨县扬武镇老冬村,107.903707000000000,26.220870999999999,107.893258000000000,26.218201000000001,苗族|侗族
436,贵州省黔东南苗族侗族自治州丹寨县兴仁镇甲劳村,107.858884000000000,26.375053999999999,107.848349000000000,26.372584000000000,苗族|侗族
437,贵州省黔南布依族苗族自治州都匀市毛尖镇坪阳村总阳寨,107.371272000000000,26.257688000000002,107.360399000000000,26.254996999999999,苗族|布依族
438,贵州省黔南布依族苗族自治州福泉市凤山镇金凤村,107.641007000000000,26.640048000000000,107.630500000000000,26.637391999999998,苗族|布依族
439,贵州省黔南布依族苗族自治州福泉市陆坪镇新桥营村柏秧坪仫佬寨,107.637603000000000,26.676266999999999,107.627067999999990,26.673631000000000,苗族|布依族
